w4mpro,w4sigmpro,w4snr,w4rchi2,w4mag_1,w4mag_2,w4mag_3,w4mag_4,w4mag_5,w4mag_6,w4mag_7,w4mag_8,w4mag_1_w4mag_2,w4mag_2_w4mag_3,w4mag_3_w4mag_4,w4mag_4_w4mag_5,w4mag_5_w4mag_6,w4mag_6_w4mag_7,w4mag_7_w4mag_8,class
3.566,0.023,46.7,1.725,4.682,4.136,3.781,3.541,3.362,3.204,3.064,2.948,0.5460000000000003,0.355,0.2400000000000002,0.17899999999999983,0.15799999999999992,0.14000000000000012,0.1160000000000001,real
3.931,0.023,46.5,1.036,4.986,4.482,4.185,4.028,3.957,3.922,3.904,3.893,0.5039999999999996,0.2970000000000006,0.15700000000000003,0.07099999999999973,0.0349999999999997,0.018000000000000238,0.01100000000000012,real
5.751,0.042,26.1,0.924,6.85,6.377,6.092,5.958,5.93,5.943,5.967,5.98,0.47299999999999986,0.28500000000000014,0.13399999999999945,0.02800000000000047,0.0129999999999999,0.02400000000000002,0.013000000000000789,real
4.211,0.052,21.0,0.4114,4.451,3.963,3.603,3.325,3.098,2.898,2.724,2.571,0.48799999999999955,0.3599999999999999,0.278,0.2270000000000003,0.19999999999999973,0.17399999999999993,0.15300000000000002,real
6.464,0.064,17.1,0.9397,7.529,7.03,6.751,6.612,6.543,6.505,6.49,6.495,0.49899999999999967,0.2789999999999999,0.13900000000000023,0.06899999999999995,0.038000000000000256,0.01499999999999968,0.004999999999999893,real
8.993,0.535,2.0,1.113,9.048,8.708,8.4,8.181,8.063,7.827,7.611,7.412,0.33999999999999986,0.30799999999999983,0.2190000000000012,0.11799999999999855,0.23600000000000065,0.2160000000000002,0.19899999999999984,real
4.134,0.026,42.2,1.073,5.207,4.709,4.418,4.259,4.185,4.144,4.119,4.103,0.4980000000000002,0.2909999999999995,0.1589999999999998,0.07400000000000073,0.04099999999999948,0.025000000000000355,0.016000000000000014,real
4.905,0.027,40.3,1.078,6.02,5.52,5.223,5.06,4.98,4.93,4.891,4.847,0.5,0.2969999999999997,0.16300000000000026,0.07999999999999918,0.05000000000000071,0.0389999999999997,0.043999999999999595,real
7.63,0.204,5.3,0.9476,8.558,8.046,7.768,7.628,7.511,7.384,7.289,7.235,0.5120000000000005,0.2779999999999996,0.13999999999999968,0.11699999999999999,0.12699999999999978,0.09500000000000064,0.05399999999999938,real
5.266,0.04,26.9,1.045,6.24,5.688,5.331,5.105,4.959,4.854,4.782,4.734,0.5520000000000005,0.3569999999999993,0.22599999999999998,0.1460000000000008,0.10499999999999954,0.07200000000000006,0.04800000000000004,real
5.35,0.038,28.7,0.8182,6.394,5.896,5.596,5.424,5.329,5.27,5.231,5.198,0.4980000000000002,0.2999999999999998,0.1719999999999997,0.09500000000000064,0.05900000000000016,0.0389999999999997,0.032999999999999474,real
5.391,0.039,27.9,0.9144,6.473,5.986,5.702,5.554,5.496,5.478,5.474,5.471,0.4870000000000001,0.2839999999999998,0.1479999999999997,0.05799999999999983,0.018000000000000682,0.0039999999999995595,0.0030000000000001137,real
6.18,0.331,3.3,0.533,6.971,5.026,4.685,4.389,4.129,3.895,3.679,3.48,1.9450000000000003,0.3410000000000002,0.2959999999999994,0.2600000000000007,0.23399999999999954,0.2160000000000002,0.19899999999999984,real
6.245,0.064,17.0,0.8484,7.306,6.817,6.526,6.392,6.347,6.314,6.286,6.28,0.4889999999999999,0.29100000000000037,0.13399999999999945,0.04499999999999993,0.03300000000000036,0.02800000000000047,0.005999999999999339,real
4.409,0.028,39.3,1.151,5.472,5.002,4.74,4.626,4.601,4.615,4.65,4.688,0.47000000000000064,0.26199999999999957,0.11399999999999988,0.025000000000000355,0.014000000000000234,0.03500000000000014,0.03799999999999937,real
6.154,0.047,22.9,1.059,7.193,6.707,6.416,6.251,6.163,6.116,6.099,6.086,0.48599999999999977,0.2909999999999995,0.16500000000000004,0.08800000000000008,0.0470000000000006,0.01699999999999946,0.0129999999999999,real
3.632,0.028,39.2,1.091,4.8,4.318,4.054,3.939,3.932,3.971,4.031,4.09,0.4820000000000002,0.26399999999999935,0.11500000000000021,0.007000000000000117,0.039000000000000146,0.05999999999999961,0.05900000000000016,real
3.8,0.025,44.2,0.719,4.895,4.397,4.107,3.956,3.89,3.857,3.842,3.835,0.49799999999999933,0.29000000000000004,0.15100000000000025,0.06599999999999984,0.03299999999999992,0.015000000000000124,0.007000000000000117,real
6.745,0.073,14.8,1.079,7.845,7.424,7.255,7.241,7.318,7.408,7.476,6.67,0.4209999999999994,0.16900000000000048,0.014000000000000234,0.07699999999999996,0.09000000000000075,0.06799999999999962,0.806,real
6.632,0.076,14.3,0.8653,7.704,7.24,6.958,6.834,6.789,6.745,6.733,6.736,0.4639999999999995,0.28200000000000003,0.12400000000000055,0.04499999999999993,0.043999999999999595,0.012000000000000455,0.0030000000000001137,real
7.266,0.142,7.7,0.8678,7.315,6.878,6.571,6.333,6.11,5.892,5.706,5.554,0.4370000000000003,0.3070000000000004,0.23799999999999955,0.22299999999999986,0.21799999999999997,0.18599999999999994,0.15200000000000014,real
